based_in:,member for:,company_name:,rating:,reports:
"Wokingham, Berkshire",2 years,A White Electrical,9.91,266
"Waltham Abbey, Essex",2 years,A Whittaker Roofing,9.94,129
"Shepperton, Surrey",2 years,A Wilson Roofing Ltd,9.85,75
"Chandlers Ford, Hampshire",7 years,A Windowmenda,9.96,1923
"Blaydon-on-Tyne, Tyne and Wear",2 years,A Wood Idea,9.88,121
"Banstead, Surrey",Less than a year,A Wright Build,9.85,14
"St. Leonards-on-Sea, East Sussex",4 years,A&A Cleaning and Property Services Limited,9.96,134
"West Molesey, Surrey",3 years,A&A Cooling Ltd,9.8,47
"South Petherton, Somerset",1 year,A&A Garden and Tree Services,9.62,16
"Epsom, Surrey",Less than a year,A&B Art of Building Ltd,9.79,32
"Romford, Essex",Less than a year,A&B Building & Landscaping,9.76,37
"Birmingham, West Midlands",Less than a year,A&B Roofing and Building Services Ltd,9.93,11
"Watford, Hertfordshire",Less than a year,A&D Brickwork Ltd,9.75,16
"Gillingham, Kent",Less than a year,A&D Cleaning Solution,9.81,8
"Walsall, West Midlands",1 year,A&D Electrical Solutions,9.98,46
"Luton, Bedfordshire",4 years,A&D Maintenance Services Ltd,9.81,146
"Colchester, Essex",1 year,A&D Plumbing Services Ltd,9.8,19
"Dartford, Kent",Less than a year,A&E Building,9.99,17
"Lancing, West Sussex",9 years,A&E Plumbing,9.94,408
"Edenbridge, Kent",2 years,A&F Construction Ltd,9.91,52
London,Less than a year,A&F Property Maintenance,9.75,8
"Southampton, Hampshire",Less than a year,A&G Delivery And Removal Ltd,9.91,8
"Chester Le Street, Tyne and Wear",2 years,A&G Home Improvements,9.95,168
Hounslow,3 years,A&G Windows Ltd,9.6,31
London,Less than a year,A&H Plumbing and Heating,9.57,7
"Thames Ditton, Surrey",Less than a year,A&J McNeil Plumbing and Heating,9.94,9
"Stoke-on-Trent, Staffordshire",Less than a year,A&K Decorating Services,9.85,12
"Stoke-on-Trent, Staffordshire",Less than a year,A&K Property Maintenance,9.65,14
"Kidlington, Oxfordshire",Less than a year,A&L Decorating Oxford Ltd,9.91,11
"Alresford, Hampshire",5 years,A&P Garage Doors,9.96,166
"Dunstable, Bedfordshire",Less than a year,A&R Exterior Cleaning Services,9.88,15
"Oxford, Oxfordshire",2 years,A&R Plumbing and Heating,9.79,35
"Shoreham-by-sea, West Sussex",4 years,A&S Aerials & Satellites,9.87,444
Telford,1 year,A&S Homescapes Limited,9.86,61
"Guildford, Surrey",13 years,A&T Builders (UK) Limited,9.59,65
"Romford, Essex",Less than a year,A&T Fencing,9.98,33
"Richmond, Greater London",1 year,A* Plastering and Decorating Team,9.52,35
"Eastleigh, Hampshire",1 year,A* Plumbing & Heating,9.98,29
"Peacehaven, East Sussex",3 years,A. Emery Electrical,9.96,47
"Addlestone, Surrey",3 years,A. Gill Plumbing & Heating,9.91,108
"Reading, Berkshire",1 year,A. Johnson Home Developments,9.72,10
Croydon,2 years,"A. M. Lander Gas, Heating & Plumbing",9.9,112
"Christchurch, Dorset",8 years,A. Oliver,9.82,124
"Thatcham, Berkshire",4 years,A. P. Scarrett Plumbing & Heating,9.84,42
"Burgess Hill, West Sussex",4 years,A. Ridley Plumbing & Heating Ltd,9.92,107
"Woking, Surrey",2 years,A. S. Young,9.91,76
"Wigan, Greater Manchester",1 year,A. Wilkinson & Sons,9.71,30
"Christchurch, Dorset",7 years,A.A.Decor Ltd,9.84,126
Romford,1 year,A.B Fencing and Landscaping,9.87,64
"Rochester, Kent",Less than a year,A.B Services,9.99,18
"Burgess Hill, West Sussex",2 years,A.B. Plastering,9.93,108
"Guildford, Surrey",Less than a year,A.B.Drainworks,9.94,71
"Walsall, West Midlands",2 years,A.B.P Plastering & Renovations,9.93,65
"London, Greater London",Less than a year,A.Buckenham Locksmiths,9.73,13
"St. Agnes, Cornwall",1 year,A.C Electrical (  SW ) Ltd,9.71,21
"Orpington, Kent",4 years,A.C. Wilgar Plumbing & Heating,9.76,312
"Brackley, Northamptonshire",1 year,A.C.A Construction Ltd,9.92,21
"Brighton, East Sussex",1 year,A.C.E Electrical Contractors,9.91,17
"Brierley Hill, West Midlands",2 years,A.C.E Heating and Plumbing WM Ltd,9.97,67
"Bournemouth, Dorset",2 years,A.C.P. General Builders Ltd,9.87,31
"Small Dole, West Sussex",9 years,A.C.T. Pest Control,9.9,440
"Hornchurch, Essex",Less than a year,A.D Braithwaite Roofing,9.82,11
"Swindon, Wiltshire",1 year,A.D Solutions,9.82,21
"Abingdon, Oxfordshire",4 years,A.D. Maclean Tree Management Ltd,9.9,242
"Waterlooville, Hampshire",Less than a year,A.D.B Plumbing & Heating Limited,9.9,37
"Eastleigh, Hampshire",9 years,A.D.I Installations & Property Services,9.66,46
"London, Greater London",3 years,A.Davies Plumbing & Heating,9.96,27
"Houghton le Spring, Tyne And Wear",Less than a year,A.E.J. Electrical Services,10,6
"Aldershot, Surrey",4 years,A.E.S - Aldershot Electrical Services,9.82,174
"Addlestone, Surrey",Less than a year,A.E.S Plumbers,9.84,314
"New Milton, Hampshire",Less than a year,A.Farwell,9.35,5
"Northwich, Cheshire",5 years,A.G Treecare and Landscaping,9.76,56
"Eye, Suffolk",1 year,A.Gritton Garden Services,9.83,53
"Hinckley, Leicestershire",Less than a year,A.H Electrical Services,9.88,12
"London, Greater London",Less than a year,A.H Garden Services,9.87,22
"Sutton-in-Ashfield, Nottinghamshire",Less than a year,A.H. Roofing Nottingham,9.87,13
"Tunbridge Wells, Kent",2 years,A.Hughes Roofing,9.82,90
"Guildford, Surrey",2 years,A.I.M. Removals & Deliveries,9.9,123
"Wallsend, Tyne and Wear",Less than a year,A.I.O. Electrical Services,9.89,7
"Eastbourne, East Sussex",1 year,A.J Sanderson Builders Ltd,9.94,17
"Seaford, East Sussex",3 years,A.J. Gander Plumbing and Heating Ltd,9.76,29
"Wellington, Somerset",Less than a year,A.J. Waygood Painter & Decorator,9.89,11
"Fakenham, Norfolk",4 years,A.J.R. Bathrooms & Plumbing,9.9,71
"Woking, Surrey",Less than a year,A.L.S Building and Renovation,9.79,6
"Kingswinford, West Midlands",2 years,A.L.S Roofing,10,23
"Sittingbourne, Kent",1 year,A.M Decorating,10,68
"Wokingham, Berkshire",4 years,A.M Glazing and Repairs,9.92,842
"Towcester, Northamptonshire",3 years,A.M Kitchens & Carpentry Ltd,9.75,32
"Chester le Street, County Durham",Less than a year,A.M. Locksmiths,9.97,19
"Hook, Hampshire",2 years,A.M.B. Tree Services,9.88,132
"Chatham, Kent",Less than a year,A.M.C Carpenters & Builders Ltd,9.86,7
"Bristol, Somerset",1 year,A.M.S. Drain Services Ltd,9.81,58
"Croydon, Surrey",Less than a year,A.N Build Limited,9.91,14
"Melksham, Wiltshire",Less than a year,A.N Heating Ltd,9.73,45
"Pontypool, Torfaen",9 years,A.N.D. Decorators,9.89,87
"Tonbridge, Kent",1 year,A.O.S Landscapes Ltd,9.69,28
"Hertford, Hertfordshire",Less than a year,A.P Gardens,9.88,8
"Cranleigh, Surrey",4 years,A.P.G Roofing,9.92,47
"Paignton, Devon",Less than a year,A.Percival Flooring,9.95,21
"Broadstairs, Kent",3 years,A.R.D Carpentry,9.77,56
"Rochford, Essex",3 years,A.R.G. Aerials,9.9,257
"Petersfield, Hampshire",Less than a year,A.R.K Fencing and Gates Ltd,9.97,16
"Eastbourne, East Sussex",5 years,A.R.K. Master Decorators Ltd,9.96,101
"Wivelsfield Green, East Sussex",4 years,A.R.M. Locksmith,9.98,320
"Thatcham, Berkshire",2 years,A.R.T Roofing,9.95,74
"Peacehaven, East Sussex",4 years,A.S Anderson & Son Ltd,9.9,93
"Brighton, East Sussex",1 year,A.S Bathrooms,9.73,28
"Worthing, West Sussex",1 year,A.S Electrical Services (Southern) Ltd,9.94,36
"Walsall, West Midlands",1 year,A.S Plumbing & Bathrooms,9.98,71
"Chatham, Kent",7 years,A.S. Maxiheat Limited,9.8,56
"Ipswich, Suffolk",1 year,A.S.K Heating Services Ltd,9.82,46
"Brighton, East Sussex",Less than a year,A.S.L Locksmiths & Security Solutions,9.98,129
Bexley,1 year,A.S.P. Removals & Storage,9.97,75
"Dukinfield, Greater Manchester",1 year,A.T. Plumbing & Heating,9.45,30
"High Wycombe, Buckinghamshire",Less than a year,A.V.A Building & Construction Ltd,9.3,11
"Camberley, Surrey",6 years,A.W. Construction,9.82,45
"Southampton, Hampshire",4 years,A+ Cleaning Services,9.89,276
"Havant, Hampshire",1 year,A+ Plastering and Bathrooms,9.96,46
"Brighton, East Sussex",8 years,A1 Aerials,9.89,1554
"Staines-upon-Thames, Surrey",1 year,A1 All Waste Ltd,9.94,197
"Sheffield, South Yorkshire",1 year,A1 Bathrooms,9.91,39
"Basingstoke, Hampshire",8 years,A1 Bathrooms and Kitchens Ltd,9.62,456
"Manchester, Greater Manchester",3 years,A1 Bespoke Limited,9.66,24
"Lincoln, Lincolnshire",2 years,A1 Builders & Paving,9.78,10
"Crowborough, East Sussex",6 years,A1 Building Contracts Ltd,9.93,194
Greater Manchester,2 years,A1 Building Services,9.84,33
"Haywards Heath, West Sussex",3 years,A1 Car Search Limited,9.84,95
"Stowmarket, Suffolk",Less than a year,A1 Carpentry And Locksmith,9.98,148
"Southampton, Hampshire",10 years,A1 Complete Plumbing & Heating Ltd,9.83,329
"Poole, Dorset",5 years,A1 Construction,9.89,66
"Ashford, Kent",4 years,A1 Decorating Services,9.91,85
"Chandlers Ford, Hampshire",6 years,A1 Decorators,9.79,183
"Eastleigh, Hampshire",5 years,A1 Drainage,9.9,308
"Stoke-on-Trent, Staffordshire",3 years,A1 Driveways & Building Services Ltd,9.85,74
"Stoke-on-Trent, Staffordshire",1 year,A1 Electrical Contractors,9.94,42
"Birmingham, West Midlands",Less than a year,A1 Exterminators,9.95,5
"Crawley, West Sussex",3 years,A1 Garage Doors,9.86,392
"Hornchurch, Essex",1 year,A1 Gas Ltd,9.88,33
"Cowes, Isle Of Wight",6 years,A1 Home Services,9.68,72
"St. Leonards-on-sea, East Sussex",5 years,A1 Locksmiths And Double Glazing Repair,9.9,250
"Stockport, Cheshire",Less than a year,A1 Northern Glass,9.93,33
"Swindon, Wiltshire",4 years,A1 Painters,9.79,67
"Southampton, Hampshire",6 years,A1 Plastering,9.83,160
"Herne Bay, Kent",Less than a year,A1 Plastering,9.89,25
"Didcot, Oxfordshire",4 years,A1 Plumbing & Heating,9.44,80
"Newton Abbot, Devon",1 year,A1 Property Maintenance,9.75,30
"St. Leonards-on-Sea, East Sussex",4 years,A1 Roofing & Building Ltd,9.9,44
"Cranleigh, Surrey",3 years,A1 Roofing & Guttering,9.59,61
"Southampton, Hampshire",3 years,A1 Roofing & Property Maintenance,9.81,123
"Leatherhead, Surrey",8 years,A1 Roofing of Epsom,9.78,90
"Rugeley, Staffordshire",Less than a year,A1 RoofSpec Ltd,9.72,17
Ferndown,Less than a year,A1 Rubbish Clearance,10,49
"Lymington, Hampshire",4 years,A1 Service Solutions Ltd,9.82,87
"Keighley, West Yorkshire",2 years,A1 Stairlift Services Ltd,9.89,55
"Guildford, Surrey",2 years,A1 Strank Roofing,9.78,60
"Nuneaton, Warwickshire",2 years,A1 Tree Services,9.83,45
"Wokingham, Berkshire",4 years,A1 UK Drains Ltd,9.54,116
Orpington,5 years,A1 Up and Over Garage Doors Ltd,9.92,334
"Croydon, Surrey",Less than a year,A1 Waste Clearance,9.96,7
"Reading, Berkshire",Less than a year,A1 Window Cleaning,9.83,14
"Taunton, Somerset",1 year,A1 Windows & Doors Ltd,9.87,44
"Gateshead, Tyne and Wear",3 years,A1 Windows (Gateshead) Ltd,9.84,166
"Wokingham, Berkshire",Less than a year,A1 Wokingham Wet Waste Ltd,9.82,10
"London, Greater London",Less than a year,A10 Scaffolding Ltd,9.77,13
London,1 year,a12 Plumbing & Heating HeatSolve,9.94,46
"Wingate, Durham",2 years,A19 Garage Conversions and Building Services,9.97,53
"Maidstone, Kent",Less than a year,A2 Scaffolding Ltd,9.83,6
"Maidstone, Kent",1 year,A20 Building & Plumbing Services,9.83,32
"Bournemouth, Dorset",Less than a year,A-2-B Rubbish Clearance,9.99,70
"Consett, Durham",2 years,A2B Transit Removals and Storage,9.92,337
"Stoke-on-Trent, Staffordshire",2 years,A2Z Plumbing & Heating Ltd,9.91,37
"Peterborough, Cambridgeshire",2 years,A2Z Removals,9.95,78
"Hemel Hempstead, Hertfordshire",2 years,A2Z Roofing London Limited,9.83,33
"Walton-on-Thames, Surrey",Less than a year,A3 Electrical Ltd,9.87,17
"Farnborough, Hampshire",1 year,A3 Flooring Ltd,9.96,30
"Bishop Auckland, Durham",2 years,A3 Locksmith & Security,9.96,154
"Alton, Hampshire",4 years,A3 Locksmiths,9.97,153
"Chippenham, Wiltshire",2 years,A4 Asbestos Ltd,9.9,73
"Birmingham, West Midlands",Less than a year,A45 Fencing & Landscapes,9.92,52
"Camberley, Surrey",6 years,A4U Electrical,9.88,217
"Nuneaton, Warwickshire",Less than a year,A5 Home Improvements Ltd,9.95,27
"Reading, Berkshire",3 years,A7 Plumbing & Heating Ltd,9.87,85
"Burgess Hill, West Sussex",2 years,AA Autoheat,9.7,34
"Aldershot, Hampshire",Less than a year,AA Carpentry & Builders Ltd,9.71,7
"Orpington, Kent",4 years,AA Cooper Ltd,9.87,270
"Woodbridge, Suffolk",2 years,AA Electrical,9.77,53
"Orpington, Kent",8 years,AA Electrical Services,9.88,234
"Mitcham, Surrey",5 years,AA Fencers Complete,9.88,316
"Worcester Park, Surrey",12 years,AA Flooring Contracts,9.96,181
"Croydon, Surrey",7 years,AA Garage Doors,9.94,79
Barnet,4 years,AA Homecare (Drain and Pest Control Services),9.88,87
"Sutton, Greater London",3 years,AA Lewis Heating,9.93,218
"Ipswich, Suffolk",Less than a year,AA Motor Medic,9.88,10
"Bracknell, Berkshire",1 year,AA Painters & General Handyman,9.6,61
"Epsom, Surrey",9 years,AA Plastering Services,9.86,269
"Exmouth, Devon",1 year,AA Plumbing & Heating,9.7,16
"Swindon, Wiltshire",1 year,AA Plumbing & Heating,9.87,97
"St. Albans, Hertfordshire",1 year,AA Plumbing and Gas,8.96,12
"Northolt, Greater London",1 year,AA Pressing and Guttering (Doors and Windows),9.79,20
"Bristol, Somerset",Less than a year,AA Professional Cleaning,9.69,9
"London, Greater London",Less than a year,AA Projects UK Builders Ltd,9.25,3
"Southampton, Hampshire",6 years,AA Quality Domestics,9.89,497
"Cannock, Staffordshire",1 year,AA Roofing,9.91,88
"Kirkcaldy, Fife",Less than a year,AA Roofing and Building,9.83,50
"Christchurch, Dorset",8 years,AA Thompson & Son,9.9,493
"Sunderland, Tyne and Wear",1 year,AA Wall Tie Specialists,9.87,20
"Slough, Berkshire",Less than a year,AAA Construction,9.5,10
"Epsom, Surrey",2 years,AAA Drainage,9.6,22
"High Wycombe, Buckinghamshire",4 years,AAA Driveway Solutions Ltd,9.7,77
London,3 years,AAA Roofs,9.78,73
"London, Greater London",Less than a year,AAA Waste,9.99,23
"Bournemouth, Dorset",5 years,AAB Plastering Services,9.95,83
"Wallington, Greater London",4 years,Aable Electrical Ltd,9.63,41
"Broxbourne, Hertfordshire",Less than a year,AAC Aircon Ltd,9.93,14
"Staines-upon-Thames, Middlesex",3 years,AAJ  Washing Machine Services,9.92,121
"Guildford, Surrey",5 years,AAL Carpentry and Brickwork Ltd,9.91,34
"Consett, County Durham",2 years,AAP All Aspects Of Plumbing,9.95,77
"Bracknell, Berkshire",6 years,AAP Carpet & Upholstery Cleaning,9.85,415
"London, Greater London",Less than a year,AAR Electrical Maintenance Contractors Ltd,9.88,14
"Stanley, Durham",4 years,Aardvark Gas Services,9.97,37
"Peterborough, Cambridgeshire",Less than a year,Aaron Dawkins Decorators,9.73,16
"Hockley, Essex",4 years,Aaron Domestics,9.92,411
"Poole, Dorset",8 years,Aaron Knapp Plumbing & Heating,9.57,155
"Woodbridge, Suffolk",1 year,Aaron Nobbs Electrical Ltd,9.7,5
"Robertsbridge, East Sussex",2 years,Aaron Plumbing And Heating Ltd,9.84,54
"Berkhamsted, Hertfordshire",Less than a year,Aaron Scaffolding (Berkhamsted) Ltd,9.86,19
"Bognor Regis, West Sussex",12 years,Aaron Small Building Works,9.81,286
"Canterbury, Kent",3 years,Aaron Thomas Plumbing,10,97
"Rowland's Castle, Hampshire",4 years,Aarons Ceramics,9.96,48
"London, Greater London",Less than a year,Aaronstone Countertops (Quarts & Granite),9.99,19
"Eastleigh, Hampshire",1 year,Aarpeez Flooring Ltd,9.99,83
"Rushden, Northamptonshire",6 years,AAS Advanced Aerial Services,9.88,1206
"Poole, Dorset",8 years,AAW (Windscreens) Ltd - Advanced Autoglazing Work,9.95,189
"Doncaster, South Yorkshire",Less than a year,AB Blinds and Carpets,9.92,15
"Cardiff, South Glamorgan",Less than a year,AB Building & Plastering,9.31,12
"Poole, Dorset",Less than a year,AB Carpentry,9.97,17
London,5 years,AB Central Heating Services,9.95,338
"Sittingbourne, Kent",Less than a year,Ab Co Roofing,10,5
"Bodmin, Cornwall",Less than a year,AB Decorators,9.58,3
"Chichester, West Sussex",3 years,AB Domestic Plumbing,9.89,74
"Chelmsford, Essex",1 year,AB Electrical,9.84,114
New Malden,1 year,AB Fab Cleaning,9.84,34
Durham,1 year,Ab Fab Plastering,10,26
"Welling, Kent",Less than a year,AB General Lofts,9.79,6
"Newcastle upon Tyne, Tyne and Wear",4 years,AB Homekleen,10,137
"London, Greater London",Less than a year,Ab Jay Interior Ltd,9.76,22
"Rickmansworth, Hertfordshire",Less than a year,AB Plastering Specialists,9.88,8
"Bristol, Gloucestershire",1 year,AB Property Services,9.79,25
"Southampton, Hampshire",1 year,AB Roofing,9.96,83
"Bromsgrove, Worcestershire",5 years,AB Services,9.85,133
"Christchurch, Dorset",5 years,AB Tiling Solutions,9.92,82
"Romford, Essex",Less than a year,AB4U Removals and Storage,9.78,30
"Hailsham, East Sussex",1 year,Abacus,9.88,25
"Poole, Dorset",7 years,Abacus Aerials,9.74,981
"Eastbourne, East Sussex",7 years,Abacus Flame Ltd,9.9,152
"Bristol, Avon",4 years,"Abacus Garage Doors & Gates, Security Limited",9.8,216
"Peacehaven, East Sussex",Less than a year,Abacus Property Maintenance Ltd,9.73,12
"Durham, County Durham",Less than a year,Abacus Roofing & Property Maintenance,9.88,8
"Ferndown, Dorset",5 years,Abacus Services,9.94,169
"Chelmsford, Essex",1 year,Abacus Windows Commercial Ltd,9.94,9
"Dartford, Kent",6 years,Abah Property Services,9.87,154
London,1 year,Abat Construction Ltd,9.72,27
"Reading, Berkshire",5 years,Abattis Security Systems Limited,9.93,231
"Sittingbourne, Kent",3 years,Abbacus Domestic Plumbers,9.89,149
"Eastbourne, East Sussex",4 years,Abbey Aerials,9.9,199
"Wells, Somerset",Less than a year,Abbey Care Maintenance and Renovations Ltd,9.75,8
"Southend-on-Sea, Essex",1 year,Abbey Construction Southend Ltd,9.98,29
"Stanford-le-Hope, Essex",Less than a year,Abbey Domestic,9.89,53
"Poole, Dorset",2 years,Abbey Drainage,9.92,81
"West Molesey, Surrey",4 years,Abbey Garage Door Repairs,9.97,151
"Stockton-on-Tees, Durham",4 years,Abbey Garage Doors,9.97,406
"Bury St. Edmunds, Suffolk",4 years,Abbey Gate Electrical Ltd,9.78,14
"Worksop, Nottinghamshire",Less than a year,Abbey Heating Limited,9.97,18
"Poole, Dorset",Less than a year,Abbey Homes and Gardens,9.9,13
"Woking, Surrey",Less than a year,Abbey Landscapes,9.85,39
"Wokingham, Berkshire",7 years,Abbey Paving,9.92,210
"Dagenham, Greater London",2 years,Abbey Plastering,9.69,28
"Camberley, Surrey",5 years,Abbey Plastering (Camberley),9.84,149
"Horley, Surrey",7 years,Abbey Property Maintenance,9.97,137
"Egham, Surrey",6 years,Abbey Repairs (Double Glazing Repairs and Conservatory Repairs),9.92,163
"Faversham, Kent",6 years,Abbey Roofing,9.89,166
"Southend-on-Sea, Essex",2 years,Abbey Roofing,9.89,54
"Southampton, Hampshire",2 years,Abbey Roofing & Cladding Ltd,9.71,28
"Waltham Abbey, Essex",1 year,Abbey Tile & Stone,10,13
"Reading, Berkshire",3 years,Abbey Windows (Thames Valley) Limited,9.79,571
"Eastbourne, East Sussex",1 year,Abbey Windows and Conservatories,9.75,12
"Rye, East Sussex",1 year,Abbeylight Contracts,9.87,13
"Kings Langley, Hertfordshire",1 year,Abbots Building and Refurbishments UK Ltd,9.29,6
"Watford, Hertfordshire",1 year,Abbot's Windows,9.94,61
"Alresford, Hampshire",1 year,Abbotstone Pest Control,9.99,68
"Buxton, Derbyshire",Less than a year,Abbott Damp Proofing,9.86,9
"Hemel Hempstead, Hertfordshire",3 years,Abbotts Boiler Services,9.87,270
"Broxbourne, Hertfordshire",Less than a year,Abbotts Flooring,9.96,34
"Borehamwood, Hertfordshire",4 years,Abbotts Maintenance,9.91,327
Twickenham,7 years,Abbotts Roofing,9.72,328
"Horsham, West Sussex",4 years,ABC Building,9.95,30
"Portsmouth, Hampshire",10 years,ABC Digital Systems Ltd,9.83,228
"Swindon, Wiltshire",4 years,ABC Electrics,9.93,189
"Haywards Heath, West Sussex",3 years,ABC Gas Plumbing & Heating Ltd,9.94,307
"Wishaw, North Lanarkshire",Less than a year,ABC Landscaping,9.85,12
"Woking, Surrey",6 years,ABC Maintenance Services,9.75,414
"Epsom, Surrey",Less than a year,ABC Plumbing and Building,9.22,9
"Croydon, Surrey",Less than a year,ABC Property Solutions,9.81,40
"Brighton, East Sussex",Less than a year,ABC Removals,9.93,68
"Feltham, Middlesex",Less than a year,ABC Roofing Ltd,9.75,9
"Westerham, Kent",5 years,ABCO,9.84,244
"Surbiton, Greater London",7 years,Abco Roofing & Guttering Services,9.7,207
"Southampton, Hampshire",9 years,ABCO Windows Ltd.,9.83,240
"Ruislip, Middlesex",4 years,Abdec Limited,9.76,64
"Croydon, Surrey",Less than a year,Abeera Limited,9.47,19
York,1 year,Abel Carpet Cleaning,9.96,17
"Romsey, Hampshire",4 years,Abel Environmental Services Limited,9.71,46
"Epsom, Surrey",4 years,Abel Roofing & Building Services,9.77,151
"Croydon, Greater London",3 years,Abell Heating & Plumbing Ltd,9.81,73
"Harpenden, Hertfordshire",2 years,Abello Interiors,9.92,12
London,3 years,Abelplumbing Ltd,9.71,68
Carshalton,3 years,Abercom Drives & Patios,9.9,57
"Inverurie, Aberdeenshire",Less than a year,Aberfelt Roofing Services,9.25,5
"Chichester, West Sussex",Less than a year,ABF Plastering,9.94,18
"Chester le Street, County Durham",2 years,Abfresh,9.96,56
"Southampton, Hampshire",Less than a year,ABH Electrical Ltd,9.91,62
Orpington,1 year,ABI Roofing Limited,9.92,61
"Bromley, Kent",Less than a year,Ability 1st,9.56,7
"Orpington, Kent",Less than a year,Ability Roofing Ltd,9.88,21
"Ruislip, Middlesex",Less than a year,Ability Security,9.68,7
"Abingdon, Oxfordshire",4 years,Abingdon on Thames Roofing & Building,9.84,205
"Guildford, Surrey",1 year,ABL Landscapes,9.82,19
"Farnborough, Hampshire",3 years,Able & Willing,9.87,156
"Gosport, Hampshire",6 years,Able 1 Gas Ltd,9.87,179
"Epsom, Surrey",7 years,Able 2 Build & Sons Ltd,9.69,44
"Kingston, Greater London",12 years,Able Appliance Repairs,9.81,1148
"Gerrards Cross, Buckinghamshire",4 years,Able Appliances,9.96,65
Woodford Green,1 year,Able Building and Landscaping,9.86,33
"Broadstairs, Kent",2 years,Able Clean,9.89,97
"Chatham, Kent",Less than a year,Able Construction,9.83,22
"Aldershot, Surrey",6 years,Able Decorating,9.98,144
"Nottingham, Nottinghamshire",Less than a year,Able Electrical,9.89,44
"Forest Row, East Sussex",6 years,Able Electrical Services,9.85,89
"Southampton, Hampshire",7 years,Able Groundworks Ltd,9.88,131
"Newcastle upon Tyne, Tyne and Wear",Less than a year,Able Installation Services Ltd,9.88,17
"Southampton, Hampshire",6 years,Able Landscapes & Driveways,9.77,124
"Sutton, Greater London",3 years,Able Plastering Services,9.94,138
"Southampton, Hampshire",4 years,Able Plumbing & Drainage,9.89,442
"Northampton, Northamptonshire",Less than a year,Able Plumbing and Heating,9.78,17
"Plymouth, Devon",1 year,Able Property Solutions Ltd,9.86,19
"Leatherhead, Surrey",7 years,Able Roofing,9.8,101
"Reigate, Surrey",7 years,Able Roofing,9.82,74
London,4 years,Able Skips,9.38,10
"Redhill, Surrey",8 years,Able Technical Services,9.95,105
"High Wycombe, Buckinghamshire",2 years,Able Tree Experts,9.95,115
"Lewes, East Sussex",7 years,Abode,9.92,68
"Ipswich, Suffolk",Less than a year,Abode Building & Landscaping Ltd,9.9,12
"Littlehampton, West Sussex",2 years,Abode Handyman & Garden Maintenance,9.95,109
"Wolverhampton, West Midlands",1 year,Abode Interiors (Midlands) Ltd,9.8,11
"Bognor Regis, West Sussex",3 years,Abode Plastering & Decorating Services,9.97,82
"Southend-on-Sea, Essex",Less than a year,Abode Stone Ltd,9.95,10
"Portsmouth, Hampshire",2 years,A-Boss Scaffolding Ltd,9.93,50
"Epsom, Surrey",6 years,About - Turn Locks,9.98,555
"Burgess Hill, West Sussex",4 years,About Floors,9.89,91
"Maidstone, Kent",Less than a year,Above & Beyond Construction,9.93,11
"Littlehampton, West Sussex",16 years,Above All Roofing & Building,9.74,425
"Reading, Berkshire",4 years,Above and Below Plumbing Services Limited,9.88,60
"Bournemouth, Dorset",Less than a year,Above And Beyond Plumbing & Boiler Services,9.91,14
"Bracknell, Berkshire",Less than a year,Above and Beyond Property Solutions Ltd,9.85,5
"Newport, Gwent",Less than a year,ABP Contractors,9.43,10
"Newcastle upon Tyne, Tyne and Wear",3 years,Abracadabra A1 Locksmiths Ltd,9.93,457
"Bournemouth, Dorset",5 years,Abracadabra Carpet & Hard Floor Deep Cleaning Specialists,9.89,115
Morden,Less than a year,Abrehart Landscapes,9.91,34
"Redcar, North Yorkshire",3 years,Abridge Construction,9.71,36
"Tunbridge Wells, Kent",1 year,ABS Plastering,9.99,96
"Reading, Berkshire",1 year,Absolute  Total Clearance,9.89,46
"Whyteleafe, Surrey",2 years,Absolute (Property Repairs and Decorations),9.57,20
"Bristol, Avon",2 years,Absolute Aerials & Satellites Ltd,9.82,94
"Romford, Greater London",3 years,Absolute Alarms & Security Systems Ltd,9.85,498
"Horsham, West Sussex",9 years,Absolute Arboriculture - Max Ferretti,9.91,424
"Ferndown, Dorset",6 years,Absolute Armour & Sons,9.89,109
"Colchester, Essex",1 year,Absolute Asbestos Solutions Ltd,9.77,38
"Wokingham, Berkshire",1 year,Absolute Brickwork,9.83,18
"Bristol, Somerset",4 years,Absolute Bristol Ltd,9.8,90
London,1 year,Absolute Building & Construction Ltd,9.61,7
Hayes,4 years,Absolute Building Services,9.62,123
Wallington,10 years,Absolute Building Services Limited,9.89,90
"Brighton, East Sussex",3 years,Absolute Carpentry & Kitchens,9.91,29
"Oldham, Greater Manchester",3 years,Absolute Clean Manchester Ltd,9.79,39
"Leatherhead, Surrey",7 years,Absolute Cleaning & Maintenance Services,9.95,156
Glasgow,Less than a year,Absolute Conversions & Joinery Contractors,9.76,15
"Chessington, Greater London",13 years,Absolute Decor,9.75,159
"Chatham, Kent",4 years,Absolute Doors Ltd,9.84,40
"Solihull, Warwickshire",3 years,Absolute Driveways Ltd,9.81,47
"Aldershot, Hampshire",Less than a year,Absolute Electrical,9.93,22
"Maidstone, Kent",Less than a year,Absolute Electrical Fire and Security Ltd,10,11
"Lincoln, Lincolnshire",2 years,Absolute Electrical Lincoln Limited,9.81,51
"Eastleigh, Hampshire",4 years,Absolute Exteriors Roofing,9.95,96
"Plymouth, Devon",Less than a year,Absolute Fencing & Decking Ltd,10,8
"Basildon, Essex",Less than a year,Absolute Floor Sanding,9.95,35
